day_hr,num_trades,total_usd,total_fees_usd,num_new_positions,liq_usd_added,liq_usd_net
2022-12-14 17:00:00.000 UTC,1592,1.7668524425005585e+07,17753.797018507827,37,2.61719360903497e+08,1.227828327703616e+06
2022-12-06 13:00:00.000 UTC,1615,5.559391859967534e+07,37871.55450778812,39,9.436764735895167e+07,12699.304738893652
2022-10-28 11:00:00.000 UTC,1699,2.951211768539071e+07,19557.85802837667,42,1.5174776224719352e+08,900440.2593196356
2022-10-18 14:00:00.000 UTC,1921,8.418333062541772e+07,79266.79556715982,24,1.1370701142069347e+08,2.621034742318251e+06
2022-08-10 00:00:00.000 UTC,2721,7.388330285528082e+07,96670.26760276088,39,6.637087893327716e+07,1.5889195951114164e+06
2022-08-09 11:00:00.000 UTC,2055,6.410496674765984e+07,62803.71730164426,34,1.1918852188605137e+08,5.6561861813253e+06
2022-06-30 10:00:00.000 UTC,1983,3.312353168992653e+07,53087.985649199945,20,4.805540570472945e+07,-5.73686081770722e+06
2022-06-29 05:00:00.000 UTC,1681,4.433218367958708e+07,62960.208390058244,32,8.883211826502603e+07,2.8245887568813595e+06
2022-03-25 08:00:00.000 UTC,2266,9.454632173295505e+07,137968.1975464702,26,3.9713947439883545e+07,2.1726830273862286e+06
2022-03-18 19:00:00.000 UTC,2033,7.241987335935229e+07,175484.85032307377,14,3.0331689174429676e+06,-3.2269889448680365e+06
2022-02-19 08:00:00.000 UTC,1337,3.9244059204828635e+07,65631.56784158564,9,918030.1404328467,508185.0016575363
2022-01-23 23:00:00.000 UTC,1886,2.3916460687292466e+08,277141.210667397,5,407706.6355152393,-2.646698452870857e+06
2021-12-16 11:00:00.000 UTC,1661,8.51540986587125e+07,131941.17443558056,16,371160.3666828176,-3.7246764681871897e+06
2021-12-06 03:00:00.000 UTC,1772,7.693430009825218e+07,124272.40648865032,17,1.0398635436187544e+08,677562.482643831
2021-11-08 23:00:00.000 UTC,1471,8.33580396630165e+07,173736.97409514704,8,1.4014415808525177e+07,1.4378768257053841e+06
2021-10-25 13:00:00.000 UTC,1517,6.173605789516795e+07,108480.50812684151,13,1.4699295471787888e+06,55259.852150405466
